timestamp,region,area,Long_X,Lat_Y,temp,humidity,wind,rain,FFMC,DMC,DC,ISI,nino34_sst,fire
6/1/2012,Bejaia,ne,5.057341889254348,36.76264603,29,57,18,0,65.7,3.4,7.6,1.3,27.7,0
6/2/2012,Bejaia,ne,5.048337817608976,36.76426827006115,29,61,13,1.3,64.4,4.1,7.6,1,27.7,0
6/3/2012,Bejaia,ne,5.061342814565436,36.76311671325421,26,82,22,13.1,47.1,2.5,7.1,0.3,27.7,0
6/4/2012,Bejaia,ne,5.065366115085193,36.762924724660394,25,89,13,2.5,28.6,1.3,6.9,0,27.7,0
6/5/2012,Bejaia,ne,5.053013355822329,36.76208362359934,27,77,16,0,64.8,3,14.2,1.2,27.7,0
6/6/2012,Bejaia,ne,5.073351449280862,36.76910833125804,31,67,14,0,82.6,5.8,22.2,3.1,27.7,1
6/7/2012,Bejaia,ne,5.049861625645552,36.767298418132064,33,54,13,0,88.2,9.9,30.5,6.4,27.7,1
6/8/2012,Bejaia,ne,5.071038389102631,36.76627850654522,30,73,15,0,86.6,12.1,38.3,5.6,27.7,1
6/9/2012,Bejaia,ne,5.067561665254361,36.76925494548227,25,88,13,0.2,52.9,7.9,38.8,0.4,27.7,0
6/10/2012,Bejaia,ne,5.0556017435828124,36.765316377254635,28,79,12,0,73.2,9.5,46.3,1.3,27.7,0
6/11/2012,Bejaia,ne,5.061933794223682,36.76709313990515,31,65,14,0,84.5,12.5,54.3,4,27.7,1
6/12/2012,Bejaia,ne,5.056757358067822,36.76504110782743,26,81,19,0,84,13.8,61.4,4.8,27.7,1
6/13/2012,Bejaia,ne,5.073434360639441,36.766105734483794,27,84,21,1.2,50,6.7,17,0.5,28,0
6/14/2012,Bejaia,ne,5.056610785,36.764832168340675,30,78,20,0.5,59,4.6,7.8,1,28,0
6/15/2012,Bejaia,ne,5.058518510606659,36.763468491362694,28,80,17,3.1,49.4,3,7.4,0.4,28,0
6/16/2012,Bejaia,ne,5.0647303729128215,36.766093987239756,29,89,13,0.7,36.1,1.7,7.6,0,28,0
6/17/2012,Bejaia,ne,5.067086053415362,36.762710855238595,30,89,16,0.6,37.3,1.1,7.8,0,28,0
6/18/2012,Bejaia,ne,5.069308208805156,36.76652992630445,31,78,14,0.3,56.9,1.9,8,0.7,28,0
6/19/2012,Bejaia,ne,5.049119952405215,36.76672047606771,31,55,16,0.1,79.9,4.5,16,2.5,28,0
6/20/2012,Bejaia,ne,5.068854145642673,36.76854966105242,30,80,16,0.4,59.8,3.4,27.1,0.9,28.2,0
6/21/2012,Bejaia,ne,5.051221346508931,36.770150636779945,30,78,14,0,81,6.3,31.6,2.6,28.2,1
6/22/2012,Bejaia,ne,5.060272372711079,36.76961459940678,31,67,17,0.1,79.1,7,39.5,2.4,28.2,0
6/23/2012,Bejaia,ne,5.056803848666146,36.76287522571672,32,62,18,0.1,81.4,8.2,47.7,3.3,28.2,1
6/24/2012,Bejaia,ne,5.068007137008455,36.76217253533248,32,66,17,0,85.9,11.2,55.8,5.6,28.2,1
6/25/2012,Bejaia,ne,5.051680878442421,36.764636982848366,31,64,15,0,86.7,14.2,63.8,5.7,28.2,1
6/26/2012,Bejaia,ne,5.057255350948014,36.762931442633224,31,64,18,0,86.8,17.8,71.8,6.7,28.2,1
6/27/2012,Bejaia,ne,5.060644002176768,36.763972158222714,34,53,18,0,89,21.6,80.3,9.2,28,1
6/28/2012,Bejaia,ne,5.048396514437579,36.76417417708481,32,55,14,0,89.1,25.5,88.5,7.6,28,1
6/29/2012,Bejaia,ne,5.073311834121385,36.761719431148464,32,47,13,0.3,79.9,18.4,84.4,2.2,28,0
6/30/2012,Bejaia,ne,5.069111905883296,36.76847390146707,33,50,14,0,88.7,22.9,92.8,7.2,28,1
7/1/2012,Bejaia,ne,5.0685330394929995,36.76864201281957,29,68,19,1,59.9,2.5,8.6,1.1,28,0
7/2/2012,Bejaia,ne,5.049330903859118,36.76955500374771,27,75,19,1.2,55.7,2.4,8.3,0.8,28,0
7/3/2012,Bejaia,ne,5.051404310449242,36.76489277368661,32,76,20,0.7,63.1,2.6,9.2,1.3,28,0
7/4/2012,Bejaia,ne,5.066671986971619,36.76760570961716,33,78,17,0,80.1,4.6,18.5,2.7,27.7,0
7/5/2012,Bejaia,ne,5.055346579434421,36.765854200370775,33,66,14,0,85.9,7.6,27.9,4.8,27.7,1
7/6/2012,Bejaia,ne,5.058547640340318,36.76247074724399,32,63,14,0,87,10.9,37,5.6,27.7,1
7/7/2012,Bejaia,ne,5.068608333332457,36.76235284367792,35,64,18,0.2,80,9.7,40.4,2.8,27.7,0
7/8/2012,Bejaia,ne,5.068345948,36.76973515635269,33,68,19,0,85.6,12.5,49.8,6,27.7,1
7/9/2012,Bejaia,ne,5.069216247886816,36.76784239268683,32,68,14,1.4,66.6,7.7,9.2,1.1,27.7,0
7/10/2012,Bejaia,ne,5.073832601210651,36.76789553423908,33,69,13,0.7,66.6,6,9.3,1.1,27.7,0
7/11/2012,Bejaia,ne,5.053124802153484,36.76698998722135,33,76,14,0,81.1,8.1,18.7,2.6,27.2,0
7/12/2012,Bejaia,ne,5.055659289543783,36.76206232486686,31,75,13,0.1,75.1,7.9,27.7,1.5,27.2,0
7/13/2012,Bejaia,ne,5.053444281731731,36.76717801867552,34,81,15,0,81.8,9.7,37.2,3,27.2,0
7/14/2012,Bejaia,ne,5.053707012338858,36.76202215169509,34,61,13,0.6,73.9,7.8,22.9,1.4,27.2,0
7/15/2012,Bejaia,ne,5.050591143,36.761626903011276,30,80,19,0.4,60.7,5.2,17,1.1,27.2,0
7/16/2012,Bejaia,ne,5.0539264757291384,36.76432804540883,28,76,21,0,72.6,7,25.5,0.7,27.2,0
7/17/2012,Bejaia,ne,5.069467290568546,36.76896244230556,29,70,14,0,82.8,9.4,34.1,3.2,27.2,1
7/18/2012,Bejaia,ne,5.052223082105154,36.76714823774845,31,68,14,0,85.4,12.1,43.1,4.6,27.4,1
7/19/2012,Bejaia,ne,5.056729080100133,36.76965486855742,35,59,17,0,88.1,12,52.8,7.7,27.4,1
7/20/2012,Bejaia,ne,5.067346874741948,36.76495790010291,33,65,15,0.1,81.4,12.3,62.1,2.8,27.4,1
7/21/2012,Bejaia,ne,5.0655221299065545,36.763298063358995,33,70,17,0,85.4,18.5,71.5,5.2,27.4,1
7/22/2012,Bejaia,ne,5.072078729595896,36.76284287469881,28,79,18,0.1,73.4,16.4,79.9,1.8,27.4,0
7/23/2012,Bejaia,ne,5.064143869097413,36.76218476883941,27,66,22,0.4,68.2,10.5,71.3,1.8,27.4,0
7/24/2012,Bejaia,ne,5.054478661508186,36.765694817444924,28,78,16,0.1,70,9.6,79.7,1.4,27.4,0
7/25/2012,Bejaia,ne,5.052213150688961,36.76207136,31,65,18,0,84.3,12.5,88.7,4.8,27.6,1
7/26/2012,Bejaia,ne,5.059806183336963,36.76499911465615,36,53,19,0,89.2,17.1,98.6,10,27.6,1
7/27/2012,Bejaia,ne,5.062424515283799,36.76840408420218,36,48,13,0,90.3,22.2,108.5,8.7,27.6,1
7/28/2012,Bejaia,ne,5.051984133856057,36.76216476002947,33,76,15,0,86.5,24.4,117.8,5.6,27.6,1
7/29/2012,Bejaia,ne,5.060140118486143,36.76519823851498,32,73,15,0,86.6,26.7,127,5.6,27.6,1
7/30/2012,Bejaia,ne,5.052492173183937,36.76943103053195,31,79,15,0,85.4,28.5,136,4.7,27.6,1
7/31/2012,Bejaia,ne,5.052175187811286,36.769841512500136,35,64,17,0,87.2,31.9,145.7,6.8,27.6,1
8/1/2012,Bejaia,ne,5.069493226140777,36.765169144026146,36,45,14,0,78.8,4.8,10.2,2,27.6,0
8/2/2012,Bejaia,ne,5.0726282926972965,36.76760725855184,35,55,12,0.4,78,5.8,10,1.7,27.6,0
8/3/2012,Bejaia,ne,5.072145168380198,36.765823263732884,35,63,14,0.3,76.6,5.7,10,1.7,27.6,0
8/4/2012,Bejaia,ne,5.063417711847923,36.762853732577206,34,69,13,0,85,8.2,19.8,4,27.6,1
8/5/2012,Bejaia,ne,5.073257163995499,36.76254924858186,34,65,13,0,86.8,11.1,29.7,5.2,27.6,1
8/6/2012,Bejaia,ne,5.053747645342343,36.76634141811719,32,75,14,0,86.4,13,39.1,5.2,27.6,1
8/7/2012,Bejaia,ne,5.060625857750119,36.762182201006155,32,69,16,0,86.5,15.5,48.6,5.5,27.6,1
8/8/2012,Bejaia,ne,5.062194122130664,36.76995232504949,32,60,18,0.3,77.1,11.3,47,2.2,27.7,0
8/9/2012,Bejaia,ne,5.064269624900841,36.76624565108907,35,59,17,0,87.4,14.8,57,6.9,27.7,1
8/10/2012,Bejaia,ne,5.0552009373249085,36.769115850740995,35,55,14,0,88.9,18.6,67,7.4,27.7,1
8/11/2012,Bejaia,ne,5.051872294314418,36.76213317409947,35,63,13,0,88.9,21.7,77,7.1,27.7,1
8/12/2012,Bejaia,ne,5.071606139030498,36.764846081113426,35,51,13,0.3,81.3,15.6,75.1,2.5,27.7,0
8/13/2012,Bejaia,ne,5.061383972185364,36.76513705920123,35,63,15,0,87,19,85.1,5.9,27.7,1
8/14/2012,Bejaia,ne,5.069164188578002,36.761813144489615,33,66,14,0,87,21.7,94.7,5.7,27.7,1
8/15/2012,Bejaia,ne,5.055554656671855,36.76973306312977,36,55,13,0.3,82.4,15.6,92.5,3.7,27.3,1
8/16/2012,Bejaia,ne,5.049514461684831,36.76189457755934,36,61,18,0.3,80.2,11.7,90.4,2.8,27.3,1
8/17/2012,Bejaia,ne,5.056129250808711,36.76436112381572,37,52,18,0,89.3,16,100.7,9.7,27.3,1
8/18/2012,Bejaia,ne,5.063434784744967,36.76704821932047,36,54,18,0,89.4,20,110.9,9.7,27.3,1
8/19/2012,Bejaia,ne,5.060926286466733,36.76368972104093,35,62,19,0,89.4,23.2,120.9,9.7,27.3,1
8/20/2012,Bejaia,ne,5.057793242718781,36.76966843370488,35,68,19,0,88.3,25.9,130.6,8.8,27.3,1
8/21/2012,Bejaia,ne,5.049001785596782,36.763814452660895,36,58,19,0,88.6,29.6,141.1,9.2,27.3,1
8/22/2012,Bejaia,ne,5.068401759,36.76999228474485,36,55,18,0,89.1,33.5,151.3,9.9,27.3,1
8/23/2012,Bejaia,ne,5.059642394708278,36.76731116,36,53,16,0,89.5,37.6,161.5,10.4,27.3,1
8/24/2012,Bejaia,ne,5.059624259069275,36.76608247645952,34,64,14,0,88.9,40.5,171.3,9,27.3,1
8/25/2012,Bejaia,ne,5.070407807609897,36.769019769132434,35,60,15,0,88.9,43.9,181.3,8.2,27.3,1
8/26/2012,Bejaia,ne,5.0729062065900346,36.767189446982336,31,78,18,0,85.8,45.6,190.6,4.7,27.3,1
8/27/2012,Bejaia,ne,5.064823937207305,36.76947656411441,33,82,21,0,84.9,47,200.2,4.4,27.3,1
8/28/2012,Bejaia,ne,5.066046684737086,36.76490164035972,34,64,16,0,89.4,50.2,210.4,7.3,27.3,1
8/29/2012,Bejaia,ne,5.072241718412418,36.76478702,35,48,18,0,90.1,54.2,220.4,12.5,28.1,1
8/30/2012,Bejaia,ne,5.053017184,36.76288233,35,70,17,0.8,72.7,25.2,180.4,1.7,28.1,0
8/31/2012,Bejaia,ne,5.053597616936252,36.76824842016636,28,80,21,16.8,52.5,8.7,8.7,0.6,28.1,0
9/1/2012,Bejaia,ne,5.052891755520722,36.76581649,25,76,17,7.2,46,1.3,7.5,0.2,28.1,0
9/2/2012,Bejaia,ne,5.062235714,36.76527706023366,22,86,15,10.1,30.5,0.7,7,0,28.1,0
9/3/2012,Bejaia,ne,5.0743426813709505,36.766365387114824,25,78,15,3.8,42.6,1.2,7.5,0.1,28.1,0
9/4/2012,Bejaia,ne,5.053775634181463,36.76341992786075,29,73,17,0.1,68.4,1.9,15.7,1.4,28.1,0
9/5/2012,Bejaia,ne,5.057439650497636,36.762192534786905,29,75,16,0,80.8,3.4,24,2.8,27.8,1
9/6/2012,Bejaia,ne,5.063994349808781,36.76380694635243,29,74,19,0.1,75.8,3.6,32.2,2.1,27.8,0
9/7/2012,Bejaia,ne,5.047982163377666,36.76697622736356,31,71,17,0.3,69.6,3.2,30.1,1.5,27.8,0
9/8/2012,Bejaia,ne,5.063054913406769,36.762279636794936,30,73,17,0.9,62,2.6,8.4,1.1,27.8,0
9/9/2012,Bejaia,ne,5.061565141094231,36.76439507330127,30,77,15,1,56.1,2.1,8.4,0.7,27.8,0
9/10/2012,Bejaia,ne,5.051306480136522,36.76193031534091,33,73,12,1.8,59.9,2.2,8.9,0.7,27.8,0
9/11/2012,Bejaia,ne,5.064725546623186,36.76818983155663,30,77,21,1.8,58.5,1.9,8.4,1.1,27.8,0
9/12/2012,Bejaia,ne,5.052242879205582,36.76871349810267,29,88,13,0,71,2.6,16.6,1.2,26.9,0
