date,month,year,temp_min,temp_avg,temp_max,dew_min,dew_avg,dew_max,hum_min,hum_avg,hum_max,wind_speed_min,wind_speed_avg,wind_speed_max,pressure_min,pressure_avg,pressure_max,precip
1,8,2007,24.444444444444443,19.333333333333332,14.444444444444445,12.777777777777779,12.166666666666666,10.555555555555555,87,65.0,48,14.48406,6.9201619999999995,0.0,934.6436400000001,931.25725,931.25725,0.0
2,8,2007,28.333333333333332,20.833333333333332,11.11111111111111,12.777777777777779,10.5,9.444444444444445,90,56.0,30,3.21868,0.48280199999999995,0.0,938.03003,934.6436400000001,934.6436400000001,0.0
3,8,2007,31.11111111111111,23.111111111111107,15.0,10.555555555555555,8.61111111111111,6.111111111111111,67,43.6,21,6.43736,2.092142,0.0,941.41642,938.03003,934.6436400000001,0.0
4,8,2007,36.666666666666664,26.888888888888893,18.333333333333332,12.222222222222221,10.444444444444443,8.88888888888889,56,38.8,19,0.0,0.0,0.0,938.03003,934.6436400000001,931.25725,0.0
5,8,2007,32.22222222222222,25.444444444444443,18.333333333333332,15.555555555555555,13.38888888888889,11.666666666666666,69,49.1,31,25.74944,9.816974,0.0,934.6436400000001,931.25725,927.87086,0.0
6,8,2007,26.666666666666668,20.777777777777782,14.444444444444445,14.444444444444445,12.833333333333334,11.11111111111111,87,61.8,44,17.70274,5.471756,0.0,934.6436400000001,931.25725,931.25725,0.0
7,8,2007,25.555555555555557,18.88888888888889,12.777777777777779,10.555555555555555,8.666666666666666,6.666666666666667,77,54.3,34,17.70274,4.02335,0.0,934.6436400000001,934.6436400000001,931.25725,0.0
8,8,2007,24.444444444444443,17.555555555555557,10.555555555555555,7.222222222222222,6.555555555555554,5.0,81,52.1,31,14.48406,4.184284,0.0,941.41642,938.03003,934.6436400000001,0.0
9,8,2007,28.88888888888889,19.88888888888889,11.666666666666666,7.777777777777778,7.000000000000001,5.0,78,47.3,27,6.43736,2.41401,0.0,941.41642,934.6436400000001,931.25725,0.0
10,8,2007,30.0,21.833333333333332,13.88888888888889,8.333333333333334,6.944444444444445,5.0,63,41.0,25,6.43736,1.2874720000000002,0.0,938.03003,934.6436400000001,931.25725,0.0
11,8,2007,30.555555555555557,22.77777777777778,16.11111111111111,14.444444444444445,10.222222222222221,8.333333333333334,62,47.3,26,14.48406,5.793624,0.0,934.6436400000001,931.25725,927.87086,0.0
12,8,2007,28.333333333333332,21.611111111111114,14.444444444444445,14.444444444444445,12.555555555555555,11.666666666666666,84,59.3,36,20.92142,7.885766,0.0,931.25725,931.25725,927.87086,0.0
13,8,2007,26.11111111111111,20.777777777777782,15.0,12.777777777777779,10.88888888888889,8.333333333333334,81,56.4,33,17.70274,6.276426,0.0,934.6436400000001,934.6436400000001,931.25725,0.0
14,8,2007,27.77777777777778,19.66666666666667,12.777777777777779,14.444444444444445,12.388888888888888,10.555555555555555,89,65.4,41,20.92142,7.0810960000000005,0.0,934.6436400000001,934.6436400000001,931.25725,0.0
15,8,2007,19.444444444444443,18.000000000000004,14.444444444444445,16.11111111111111,13.38888888888889,10.0,85,75.3,62,17.70274,9.495106,0.0,938.03003,934.6436400000001,931.25725,0.0
16,8,2007,24.444444444444443,16.72222222222222,8.333333333333334,9.444444444444445,7.777777777777778,6.666666666666667,92,59.4,35,14.48406,5.310822,0.0,941.41642,938.03003,934.6436400000001,0.0
17,8,2007,24.444444444444443,17.444444444444443,8.88888888888889,7.222222222222222,6.333333333333332,5.555555555555555,81,51.6,30,14.48406,3.379614,0.0,944.80281,941.41642,938.03003,0.0
18,8,2007,29.444444444444443,19.499999999999996,10.555555555555555,10.555555555555555,8.055555555555555,6.666666666666667,80,51.6,25,25.74944,10.299776000000001,0.0,941.41642,938.03003,931.25725,0.0
19,8,2007,25.555555555555557,18.277777777777782,8.88888888888889,10.0,7.666666666666665,5.555555555555555,90,55.1,28,17.70274,3.7014819999999995,0.0,941.41642,938.03003,934.6436400000001,0.0
20,8,2007,25.555555555555557,16.555555555555557,8.333333333333334,11.666666666666666,7.777777777777778,5.0,80,58.6,37,40.2335,15.449663999999999,0.0,941.41642,938.03003,931.25725,0.0
21,8,2007,22.77777777777778,16.61111111111111,10.555555555555555,8.88888888888889,5.333333333333334,2.7777777777777777,69,49.8,31,25.74944,9.012303999999999,0.0,938.03003,934.6436400000001,931.25725,0.0
22,8,2007,22.77777777777778,15.61111111111111,6.111111111111111,9.444444444444445,5.999999999999998,3.3333333333333335,81,55.0,35,11.26538,2.2530759999999996,0.0,938.03003,934.6436400000001,934.6436400000001,0.0
23,8,2007,25.555555555555557,17.77777777777778,8.88888888888889,8.88888888888889,7.555555555555555,6.666666666666667,89,55.3,33,6.43736,3.21868,0.0,941.41642,938.03003,934.6436400000001,0.0
24,8,2007,23.333333333333332,18.333333333333332,11.666666666666666,10.0,9.055555555555554,8.333333333333334,81,56.9,40,17.70274,7.724831999999999,0.0,941.41642,938.03003,934.6436400000001,0.0
25,8,2007,23.88888888888889,18.055555555555557,15.0,16.666666666666668,12.777777777777779,9.444444444444445,98,72.6,56,28.96812,14.48406,0.0,941.41642,938.03003,934.6436400000001,0.0
26,8,2007,24.444444444444443,18.77777777777778,15.0,18.333333333333332,15.722222222222221,11.666666666666666,98,82.6,66,11.26538,5.793624,0.0,941.41642,938.03003,934.6436400000001,0.0
27,8,2007,31.11111111111111,24.222222222222218,17.77777777777778,18.333333333333332,17.22222222222222,16.666666666666668,92,67.4,40,11.26538,5.310822,0.0,938.03003,934.6436400000001,931.25725,0.0
28,8,2007,28.333333333333332,22.22222222222222,16.11111111111111,17.77777777777778,12.777777777777779,5.0,99,61.6,22,20.92142,8.529501999999999,0.0,934.6436400000001,931.25725,927.87086,0.0
29,8,2007,25.0,19.166666666666668,15.0,14.444444444444445,12.833333333333334,10.555555555555555,91,68.9,43,14.48406,8.0467,0.0,934.6436400000001,931.25725,931.25725,0.0
30,8,2007,23.333333333333332,18.000000000000004,12.777777777777779,10.555555555555555,7.5,5.555555555555555,72,52.9,32,14.48406,5.471756,0.0,941.41642,938.03003,938.03003,0.0
31,8,2007,23.88888888888889,16.38888888888889,9.444444444444445,8.88888888888889,6.333333333333332,5.0,79,54.0,30,17.70274,8.529501999999999,0.0,944.80281,941.41642,938.03003,0.0
